route_name,bstop_arrive_time,bstop_leave_time,stop_time,node_name,node_x_pos,node_y_pos
남산2,20200104065929,20200104065936,7,부기리LH아파트 건너,128.82421,35.90602
399,20200104065934,20200104065956,23,자인시장입구(자인방향),128.81992,35.81656
991,20200104065937,20200104065945,8,신대근린공원 앞,128.76438,35.84129
991,20200104065952,20200104070003,11,수성구청건너,128.63128,35.85888
압량1,20200104065953,20200104065959,7,경남신성A 건너,128.72365,35.83059
991,20200104065957,20200104070007,11,압량한라빌라트 건너,128.76333,35.84
399,20200104065959,20200104070028,31,동구시장건너,128.6394,35.87491
399,20200104065959,20200104070009,11,시지보성아파트앞,128.71289,35.83781
남산2,20200104070002,20200104070011,10,금락초교,128.82384,35.90985
399,20200104070016,20200104070039,24,경산시청별관 건너,128.74023,35.82387
399,20200104070021,20200104070029,8,효목네거리2,128.64636,35.87502
399,20200104070047,20200104070056,9,사거지(남산방향),128.81691,35.77277
압량1,20200104070100,20200104070154,57,경남신성A 건너,128.72383,35.83171
399,20200104070102,20200104070110,8,경산경찰서,128.7437,35.82372
399,20200104070103,20200104070128,26,자인면사무소 건너,128.8234,35.82044
남산2,20200104070112,20200104070133,22,하양황제맨션,128.82183,35.91322
399,20200104070120,20200104070126,6,송내지입구(남산방향),128.81799,35.7759
991,20200104070122,20200104070141,19,우진아파트 앞,128.7596,35.84076
399,20200104070127,20200104070142,16,한전동대구지사건너,128.64058,35.8738
압량1,20200104070127,20200104070136,9,중산삼거리(대구방향),128.72302,35.83509
399,20200104070140,20200104070151,11,질고개삼거리(남산방향),128.8204,35.77769
399,20200104070143,20200104070154,11,사동우방A후문 건너,128.75772,35.81553
991,20200104070149,20200104070202,14,범어역(1번출구),128.62263,35.85949
399,20200104070151,20200104070216,26,한전동대구지사,128.64182,35.87484
399,20200104070154,20200104070205,11,동부파출소 건너,128.74852,35.82196
399,20200104070212,20200104070238,27,신매광장건너,128.70773,35.84014
남산2,20200104070219,20200104070315,58,하양초등학교 건너,128.81919,35.91362
399,20200104070223,20200104070330,69,시민회관앞,128.7479,35.81985
991,20200104070223,20200104070234,12,수성네거리1,128.61888,35.85973
